time,lat,lon,head,fix,route,stop,next,code,dev,fer
2023-11-01 20:05:10,64.121673333,-21.811750000,5.24,2,5,90000154,90000019,6,0207,5-A
2023-11-01 20:05:18,64.122720000,-21.811633333,357.25,2,5,90000154,90000019,6,0207,5-A
2023-11-01 19:09:11,64.137620000,-21.932366667,345.38,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:05:28,64.123773333,-21.811683333,0.56,2,5,90000154,90000019,2,0207,5-A
2023-11-01 20:37:11,64.130736667,-21.929783333,11.05,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:37:21,64.130946667,-21.929700000,357.59,2,5,90000009,90000834,7,0207,5-A
2023-11-01 19:09:21,64.138205000,-21.934066667,19.35,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:37:31,64.130955000,-21.929683333,358.02,2,5,90000009,90000834,3,0207,5-A
2023-11-01 20:37:42,64.131418333,-21.929250000,21.35,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:05:39,64.123786667,-21.811700000,0.56,2,5,90000154,90000019,6,0207,5-A
2023-11-01 20:05:50,64.123781667,-21.811700000,0.56,2,5,90000154,90000019,6,0207,5-A
2023-11-01 19:09:31,64.138406667,-21.933600000,97.94,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:06:00,64.123785000,-21.811700000,358.00,2,5,90000154,90000019,3,0207,5-A
2023-11-01 20:37:52,64.131951667,-21.928716667,29.86,2,5,90000009,90000834,2,0207,5-A
2023-11-01 19:09:42,64.138261667,-21.932716667,113.14,2,5,90000834,90000829,7,0207,5-A
2023-11-01 20:38:00,64.131956667,-21.928716667,29.86,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:38:10,64.131990000,-21.928666667,28.74,2,5,90000009,90000834,3,0207,5-A
2023-11-01 20:06:11,64.124295000,-21.812166667,311.90,2,5,90000154,90000019,6,0207,5-A
2023-11-01 20:06:21,64.124193333,-21.818266667,267.86,2,5,90000154,90000019,6,0207,5-A
2023-11-01 19:09:52,64.138246667,-21.932583333,104.89,2,5,90000834,90000829,3,0207,5-A
2023-11-01 20:06:32,64.124165000,-21.820650000,272.05,2,5,90000019,90000414,6,0207,5-A
2023-11-01 20:06:42,64.124205000,-21.821666667,273.38,2,5,90000019,90000414,7,0207,5-A
2023-11-01 20:38:21,64.132771667,-21.930500000,304.50,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:38:31,64.133281667,-21.932300000,309.65,2,5,90000009,90000834,6,0207,5-A
