service_id,date,exception_type
20220904_M-W-F--_11,20230925,1
20220904_MT--F--_12,20230925,1
20220904_MT-TF--_13,20230925,1
20220904_MTW-F--_14,20230925,1
20220904_MTWT---_15,20230925,1
20220904_MTWTF--_16,20230925,1
20220904_MTWTF--_20,20230925,1
20220904_MTWTF--_28,20230925,1
20220904_MTWTF--_80,20230925,1
20220905_MTWTF--_29,20230925,1
20220905_MTWTF--_38,20230925,1
20220926_M-W-F--_36,20230925,1
20230820_MTWTF--_42,20230925,1
20230821_MTWTF--_48,20230925,1
20230821_MTWTF--_49,20230925,1
20230823_MTWTF--_72,20230925,1
20220522_MTWTF--_1,20230926,1
20220522_MTWTF--_2,20230926,1
20220522_MTWTF--_3,20230926,1
20220904_-T-----_24,20230926,1
20220904_MT--F--_12,20230926,1
20220904_MT-TF--_13,20230926,1
20220904_MTW-F--_14,20230926,1
20220904_MTWT---_15,20230926,1
20220904_MTWTF--_16,20230926,1
20220904_MTWTF--_20,20230926,1
20220904_MTWTF--_28,20230926,1
20220904_MTWTF--_80,20230926,1
20220905_MTWTF--_29,20230926,1
20220905_MTWTF--_38,20230926,1
20230820_MTWTF--_42,20230926,1
20230821_MTWTF--_48,20230926,1
20230821_MTWTF--_49,20230926,1
20230823_MTWTF--_72,20230926,1
20220522_MTWTF--_1,20230927,1
20220522_MTWTF--_2,20230927,1
20220522_MTWTF--_3,20230927,1
20220904_--W----_71,20230927,1
20220904_--WT---_10,20230927,1
20220904_M-W-F--_11,20230927,1
20220904_MTW-F--_14,20230927,1
20220904_MTWT---_15,20230927,1
20220904_MTWTF--_16,20230927,1
20220904_MTWTF--_20,20230927,1
20220904_MTWTF--_28,20230927,1
20220904_MTWTF--_80,20230927,1
20220905_MTWTF--_29,20230927,1
20220905_MTWTF--_38,20230927,1
20220926_M-W-F--_36,20230927,1
20230820_MTWTF--_42,20230927,1
20230821_MTWTF--_48,20230927,1
20230821_MTWTF--_49,20230927,1
20230823_MTWTF--_72,20230927,1
20220522_MTWTF--_1,20230928,1
20220522_MTWTF--_2,20230928,1
20220522_MTWTF--_3,20230928,1
20220904_---T---_9,20230928,1
20220904_--WT---_10,20230928,1
20220904_MT-TF--_13,20230928,1
20220904_MTWT---_15,20230928,1
20220904_MTWTF--_16,20230928,1
20220904_MTWTF--_20,20230928,1
20220904_MTWTF--_28,20230928,1
20220904_MTWTF--_80,20230928,1
20220905_MTWTF--_29,20230928,1
20220905_MTWTF--_38,20230928,1
20220926_---T---_35,20230928,1
20230820_MTWTF--_42,20230928,1
20230821_MTWTF--_48,20230928,1
20230821_MTWTF--_49,20230928,1
20230823_MTWTF--_72,20230928,1
20220522_MTWTF--_1,20230929,1
20220522_MTWTF--_2,20230929,1
20220522_MTWTF--_3,20230929,1
20220904_----F--_8,20230929,1
20220904_M-W-F--_11,20230929,1
20220904_MT--F--_12,20230929,1
20220904_MT-TF--_13,20230929,1
20220904_MTW-F--_14,20230929,1
20220904_MTWTF--_16,20230929,1
20220904_MTWTF--_20,20230929,1
20220904_MTWTF--_28,20230929,1
20220904_MTWTF--_80,20230929,1
20220905_MTWTF--_29,20230929,1
20220905_MTWTF--_38,20230929,1
20220926_M-W-F--_36,20230929,1
20230820_----F--_41,20230929,1
20230820_MTWTF--_42,20230929,1
20230821_MTWTF--_48,20230929,1
20230821_MTWTF--_49,20230929,1
20230823_MTWTF--_72,20230929,1
20230831_----F--_74,20230929,1
20230928_----F--_79,20230929,1
20220522_-----S-_5,20230930,1
20220904_-----S-_18,20230930,1
20220904_-----S-_27,20230930,1
20220904_-----S-_7,20230930,1
20230820_-----S-_40,20230930,1
20230820_-----S-_44,20230930,1
20230821_-----S-_50,20230930,1
20230928_-----S-_78,20230930,1
20220522_------S_4,20231001,1
20220904_------S_17,20231001,1
20220904_------S_19,20231001,1
20220926_------S_34,20231001,1
20230820_------S_39,20231001,1
20230820_------S_43,20231001,1
20230831_------S_73,20231001,1
20220522_MTWTF--_1,20231002,1
20220522_MTWTF--_2,20231002,1
20220522_MTWTF--_3,20231002,1
20220904_M-W-F--_11,20231002,1
20220904_MT--F--_12,20231002,1
20220904_MT-TF--_13,20231002,1
20220904_MTW-F--_14,20231002,1
20220904_MTWT---_15,20231002,1
20220904_MTWTF--_16,20231002,1
20220904_MTWTF--_20,20231002,1
20220904_MTWTF--_28,20231002,1
20220904_MTWTF--_80,20231002,1
20220905_MTWTF--_29,20231002,1
20220905_MTWTF--_38,20231002,1
20220926_M-W-F--_36,20231002,1
20230820_MTWTF--_42,20231002,1
20230821_MTWTF--_48,20231002,1
20230821_MTWTF--_49,20231002,1
20230823_MTWTF--_72,20231002,1
20220522_MTWTF--_1,20231003,1
20220522_MTWTF--_2,20231003,1
20220522_MTWTF--_3,20231003,1
20220904_-T-----_24,20231003,1
20220904_MT--F--_12,20231003,1
20220904_MT-TF--_13,20231003,1
20220904_MTW-F--_14,20231003,1
20220904_MTWT---_15,20231003,1
20220904_MTWTF--_16,20231003,1
20220904_MTWTF--_20,20231003,1
20220904_MTWTF--_28,20231003,1
20220904_MTWTF--_80,20231003,1
20220905_MTWTF--_29,20231003,1
20220905_MTWTF--_38,20231003,1
20230820_MTWTF--_42,20231003,1
20230821_MTWTF--_48,20231003,1
20230821_MTWTF--_49,20231003,1
20230823_MTWTF--_72,20231003,1
20220522_MTWTF--_1,20231004,1
20220522_MTWTF--_2,20231004,1
20220522_MTWTF--_3,20231004,1
20220904_--W----_71,20231004,1
20220904_--WT---_10,20231004,1
20220904_M-W-F--_11,20231004,1
20220904_MTW-F--_14,20231004,1
20220904_MTWT---_15,20231004,1
20220904_MTWTF--_16,20231004,1
20220904_MTWTF--_20,20231004,1
20220904_MTWTF--_28,20231004,1
20220904_MTWTF--_80,20231004,1
20220905_MTWTF--_29,20231004,1
20220905_MTWTF--_38,20231004,1
20220926_M-W-F--_36,20231004,1
20230820_MTWTF--_42,20231004,1
20230821_MTWTF--_48,20231004,1
20230821_MTWTF--_49,20231004,1
20230823_MTWTF--_72,20231004,1
20220522_MTWTF--_1,20231005,1
20220522_MTWTF--_2,20231005,1
20220522_MTWTF--_3,20231005,1
20220904_---T---_9,20231005,1
20220904_--WT---_10,20231005,1
20220904_MT-TF--_13,20231005,1
20220904_MTWT---_15,20231005,1
20220904_MTWTF--_16,20231005,1
20220904_MTWTF--_20,20231005,1
20220904_MTWTF--_28,20231005,1
20220904_MTWTF--_80,20231005,1
20220905_MTWTF--_29,20231005,1
20220905_MTWTF--_38,20231005,1
20220926_---T---_35,20231005,1
20230820_MTWTF--_42,20231005,1
20230821_MTWTF--_48,20231005,1
20230821_MTWTF--_49,20231005,1
20230823_MTWTF--_72,20231005,1
20220522_MTWTF--_1,20231006,1
20220522_MTWTF--_2,20231006,1
20220522_MTWTF--_3,20231006,1
20220904_----F--_8,20231006,1
20220904_M-W-F--_11,20231006,1
20220904_MT--F--_12,20231006,1
20220904_MT-TF--_13,20231006,1
20220904_MTW-F--_14,20231006,1
20220904_MTWTF--_16,20231006,1
20220904_MTWTF--_20,20231006,1
20220904_MTWTF--_28,20231006,1
20220904_MTWTF--_80,20231006,1
20220905_MTWTF--_29,20231006,1
20220905_MTWTF--_38,20231006,1
20220926_M-W-F--_36,20231006,1
20230820_----F--_41,20231006,1
20230820_MTWTF--_42,20231006,1
20230821_MTWTF--_48,20231006,1
20230821_MTWTF--_49,20231006,1
20230823_MTWTF--_72,20231006,1
20230831_----F--_74,20231006,1
20230928_----F--_79,20231006,1
20220522_-----S-_5,20231007,1
20220904_-----S-_18,20231007,1
20220904_-----S-_27,20231007,1
20220904_-----S-_7,20231007,1
20230820_-----S-_40,20231007,1
20230820_-----S-_44,20231007,1
20230821_-----S-_50,20231007,1
20230928_-----S-_78,20231007,1
20220522_------S_4,20231008,1
20220904_------S_17,20231008,1
20220904_------S_19,20231008,1
20220926_------S_34,20231008,1
20230820_------S_39,20231008,1
20230820_------S_43,20231008,1
20230831_------S_73,20231008,1
20220522_MTWTF--_1,20231009,1
20220522_MTWTF--_2,20231009,1
20220522_MTWTF--_3,20231009,1
20220904_M-W-F--_11,20231009,1
20220904_MT--F--_12,20231009,1
20220904_MT-TF--_13,20231009,1
20220904_MTW-F--_14,20231009,1
20220904_MTWT---_15,20231009,1
20220904_MTWTF--_16,20231009,1
20220904_MTWTF--_20,20231009,1
20220904_MTWTF--_28,20231009,1
20220904_MTWTF--_80,20231009,1
20220905_MTWTF--_29,20231009,1
20220905_MTWTF--_38,20231009,1
20220926_M-W-F--_36,20231009,1
20230820_MTWTF--_42,20231009,1
20230821_MTWTF--_48,20231009,1
20230821_MTWTF--_49,20231009,1
20230823_MTWTF--_72,20231009,1
20220522_MTWTF--_1,20231010,1
20220522_MTWTF--_2,20231010,1
20220522_MTWTF--_3,20231010,1
20220904_-T-----_24,20231010,1
20220904_MT--F--_12,20231010,1
20220904_MT-TF--_13,20231010,1
20220904_MTW-F--_14,20231010,1
20220904_MTWT---_15,20231010,1
20220904_MTWTF--_16,20231010,1
20220904_MTWTF--_20,20231010,1
20220904_MTWTF--_28,20231010,1
20220904_MTWTF--_80,20231010,1
20220905_MTWTF--_29,20231010,1
20220905_MTWTF--_38,20231010,1
20230820_MTWTF--_42,20231010,1
20230821_MTWTF--_48,20231010,1
20230821_MTWTF--_49,20231010,1
20230823_MTWTF--_72,20231010,1
20220522_MTWTF--_1,20231011,1
20220522_MTWTF--_2,20231011,1
20220522_MTWTF--_3,20231011,1
20220904_--W----_71,20231011,1
20220904_--WT---_10,20231011,1
20220904_M-W-F--_11,20231011,1
20220904_MTW-F--_14,20231011,1
20220904_MTWT---_15,20231011,1
20220904_MTWTF--_16,20231011,1
20220904_MTWTF--_20,20231011,1
20220904_MTWTF--_28,20231011,1
20220904_MTWTF--_80,20231011,1
20220905_MTWTF--_29,20231011,1
20220905_MTWTF--_38,20231011,1
20220926_M-W-F--_36,20231011,1
20230820_MTWTF--_42,20231011,1
20230821_MTWTF--_48,20231011,1
20230821_MTWTF--_49,20231011,1
20230823_MTWTF--_72,20231011,1
20220522_MTWTF--_1,20231012,1
20220522_MTWTF--_2,20231012,1
20220522_MTWTF--_3,20231012,1
20220904_---T---_9,20231012,1
20220904_--WT---_10,20231012,1
20220904_MT-TF--_13,20231012,1
20220904_MTWT---_15,20231012,1
20220904_MTWTF--_16,20231012,1
20220904_MTWTF--_20,20231012,1
20220904_MTWTF--_28,20231012,1
20220904_MTWTF--_80,20231012,1
20220905_MTWTF--_29,20231012,1
20220905_MTWTF--_38,20231012,1
20220926_---T---_35,20231012,1
20230820_MTWTF--_42,20231012,1
20230821_MTWTF--_48,20231012,1
20230821_MTWTF--_49,20231012,1
